Unnamed: 0.1,Unnamed: 0,customer_id,age,gender,income,product_category,browsing_time,pages_viewed,previous_purchases,discount_used,purchased
24408,24707,144819,32.0,Female,33104.83,Sports,8.61,5.0,1.0,Yes,0
4684,4701,117083,45.0,Female,69850.17,Fashion,18.28,2.0,0.0,No,0
27221,27574,144721,53.0,Female,35113.12,Home,14.47,21.0,3.0,No,1
10464,10544,119829,65.0,Male,47645.36,Electronics,4.0,8.0,1.0,Yes,1
29345,29736,145244,18.0,Female,26027.18,Home,10.59,15.0,3.0,No,0
12973,13085,113397,41.0,Female,41882.15,Grocery,17.06,7.0,10.0,Yes,1
19939,20155,114491,51.0,Female,29665.36,Beauty,14.53,4.0,1.0,Yes,1
11879,11975,115767,53.0,Female,74285.11,Electronics,21.96,7.0,4.0,Yes,0
17191,17363,124989,55.0,Male,45952.58,Sports,23.73,6.0,2.0,No,0
9280,9344,118873,61.0,Male,29625.45,Fashion,12.22,5.0,2.0,No,0
6642,6675,112515,70.0,Female,46372.94,Electronics,22.76,7.0,6.0,No,1
29821,30223,126002,36.0,Female,17149.67,Electronics,22.89,4.0,3.0,No,1
4305,4320,127779,61.0,Female,53104.7,Grocery,6.22,8.0,2.0,No,1
31795,32234,142766,30.0,Male,21204.66,Grocery,18.19,3.0,3.0,Yes,1
22717,22981,146563,55.0,Male,28731.17,Home,25.41,7.0,7.0,No,0
31659,32097,117500,44.0,Male,32825.75,Fashion,18.37,19.0,2.0,No,1
10221,10296,129189,30.0,Female,75727.32,Beauty,19.48,7.0,3.0,No,1
31925,32367,127432,25.0,Female,30915.81,Grocery,13.2,2.0,1.0,No,0
14761,14893,140351,56.0,Male,25782.29,Grocery,38.4,6.0,3.0,No,1
35577,36078,112226,30.0,Male,31599.89,Grocery,11.37,10.0,3.0,No,0
5774,5797,135043,33.0,,21795.01,Grocery,18.2,9.0,3.0,No,1
25603,25920,108936,49.0,Male,33930.1,Fashion,21.63,7.0,3.0,No,0
2558,2566,144213,63.0,Male,23549.3,Grocery,7.71,10.0,5.0,No,1
19911,20127,122426,32.0,Female,17567.84,Electronics,15.81,9.0,5.0,Yes,1
38795,39361,149798,44.0,Female,16894.64,Fashion,18.34,5.0,1.0,Yes,0
5193,5212,121668,50.0,Female,10000.0,Fashion,24.65,3.0,3.0,No,0
46952,47653,139962,26.0,Male,31654.82,Grocery,37.04,3.0,2.0,Yes,1
31897,32339,143165,24.0,Female,50518.98,Sports,17.07,6.0,0.0,Yes,0
40862,41458,144250,40.0,Female,60910.77,Beauty,24.3,5.0,1.0,Yes,1
43213,43857,100229,44.0,Female,56778.25,Fashion,16.06,4.0,0.0,Yes,1
31491,31925,124045,46.0,Male,43216.96,Beauty,15.17,5.0,6.0,Yes,1
43658,44308,144560,65.0,Female,33365.9,Sports,19.92,8.0,1.0,Yes,0
28331,28706,105762,25.0,Female,29795.2,Electronics,14.53,7.0,3.0,No,0
25244,25553,129156,21.0,Male,143094.39,Electronics,21.75,21.0,1.0,No,1
34907,35403,104353,44.0,Female,13940.86,Grocery,27.4,17.0,4.0,,1
48052,48772,136878,28.0,Male,24917.64,Electronics,17.14,4.0,2.0,Yes,0
5671,5692,126643,59.0,Male,41341.06,Home,38.92,4.0,4.0,No,0
31235,31665,147834,31.0,Female,25849.32,Grocery,34.12,14.0,1.0,No,1
16065,16216,118926,31.0,Male,50748.65,Home,16.63,4.0,3.0,Yes,0
40523,41114,125739,41.0,Female,62245.06,Beauty,3.94,5.0,3.0,Yes,1
37204,37738,111219,32.0,Female,31983.5,Beauty,16.0,15.0,2.0,Yes,1
41269,41872,102414,46.0,Male,68275.17,Grocery,10.93,4.0,3.0,No,0
35718,36221,126045,57.0,Female,53261.1,Home,9.1,11.0,4.0,Yes,1
15273,15416,106482,61.0,Male,150941.5,Electronics,14.61,10.0,4.0,No,0
47111,47815,132374,46.0,Male,52044.57,Beauty,24.27,,4.0,No,0
5558,5579,133077,54.0,Female,78945.43,Beauty,9.92,16.0,1.0,No,1
480,480,139015,28.0,Female,86468.83,Sports,23.01,250.0,3.0,No,1
44048,44705,130006,32.0,Female,55697.19,Home,16.62,15.0,4.0,No,0
35360,35858,111886,25.0,Other,37629.61,Fashion,26.96,11.0,1.0,Yes,1
30038,30441,116869,59.0,Male,13791.77,Electronics,20.22,8.0,6.0,No,1
46601,47297,112744,20.0,Female,54469.18,Sports,29.69,5.0,2.0,Yes,0
