customer_id,age,gender,income,product_category,browsing_time,pages_viewed,previous_purchases,discount_used,purchased
109721,56.0,Male,40702.27,Fashion,28.25,19.0,3.0,Yes,1
135306,22.0,Male,14907.71,Grocery,11.25,3.0,4.0,No,1
133033,43.0,Female,15860.81,Home,22.55,6.0,6.0,Yes,1
113460,45.0,Male,47451.61,Grocery,24.87,6.0,2.0,Yes,0
116049,39.0,Female,33790.07,Grocery,19.4,9.0,5.0,No,0
126736,32.0,Female,,Home,28.7,5.0,0.0,No,0
141810,29.0,Male,20565.18,Grocery,10.98,4.0,1.0,Yes,0
134538,55.0,Male,53775.3,Fashion,28.69,6.0,4.0,Yes,1
119491,19.0,Female,24713.29,Beauty,16.46,10.0,3.0,No,1
126701,30.0,Female,25928.7,Grocery,25.97,4.0,5.0,Yes,1
110027,64.0,Female,22361.25,Grocery,19.21,180.0,4.0,No,0
129420,51.0,Female,34881.4,Beauty,24.54,11.0,1.0,Yes,1
129235,47.0,Male,43665.64,,15.19,9.0,3.0,Yes,1
141878,45.0,Female,20896.87,Beauty,15.7,,4.0,No,0
139207,37.0,Male,22252.39,Electronics,5.14,5.0,2.0,Yes,0
104058,43.0,Male,14164.91,Sports,11.82,13.0,5.0,No,1
130659,64.0,Female,54250.07,Electronics,7.69,4.0,4.0,Yes,1
148387,26.0,Female,47297.17,Electronics,30.2,4.0,2.0,Yes,0
116027,22.0,Female,48907.11,Electronics,7.14,12.0,1.0,No,1
112348,38.0,Female,12492.4,Electronics,27.57,2.0,3.0,Yes,0
134150,37.0,Male,72909.39,Grocery,38.34,14.0,1.0,No,1
142970,,Male,13563.96,Fashion,7.67,4.0,1.0,No,1
123820,47.0,FEMALE,15454.77,Electronics,24.76,17.0,,No,0
127537,59.0,Other,34987.31,Fashion,25.84,11.0,1.0,No,1
103805,19.0,male,34811.86,Home,22.38,11.0,1.0,No,0
119884,29.0,Female,51282.48,Fashion,3.56,4.0,,Yes,0
125279,18.0,Male,41084.25,Electronics,4.07,8.0,2.0,No,0
121762,23.0,Other,28136.72,Beauty,40.08,18.0,1.0,,1
112891,18.0,Male,21593.55,Grocery,20.2,3.0,1.0,No,0
137216,52.0,Male,25623.7,Grocery,9.47,14.0,5.0,No,1
104893,20.0,Female,20873.33,Fashion,12.61,6.0,4.0,No,0
126922,20.0,Male,22170.19,Sports,35.82,9.0,2.0,Yes,1
148062,42.0,,45764.36,Home,13.04,3.0,2.0,Yes,0
138484,58.0,FEMALE,28346.51,Fashion,37.63,7.0,1.0,No,1
123299,37.0,Male,65799.85,Fashion,20.27,3.0,6.0,No,0
136826,65.0,Male,110949.4,Fashion,10.13,14.0,1.0,Yes,0
117191,33.0,Male,36023.47,Fashion,29.27,5.0,2.0,No,0
101165,42.0,Female,33418.54,Sports,42.26,9.0,1.0,No,0
104963,,male,21850.43,Grocery,29.19,3.0,4.0,Yes,0
107639,56.0,Male,18871.96,Beauty,11.07,2.0,3.0,No,1
101004,60.0,Female,33224.88,Electronics,17.14,13.0,5.0,No,1
129397,62.0,Female,15149.57,Grocery,34.0,5.0,2.0,No,1
141206,18.0,Male,36058.92,Grocery,44.35,2.0,5.0,No,0
103494,53.0,Female,22847.79,Fashion,10.7,9.0,6.0,,1
143068,33.0,Female,73707.2,Fashion,13.09,20.0,1.0,Yes,0
102997,32.0,Male,196364.81,Grocery,28.4,11.0,3.0,No,1
118201,36.0,Female,19225.2,Fashion,12.42,2.0,3.0,Yes,1
105611,31.0,Male,74068.16,Fashion,12.64,8.0,2.0,No,0
143267,32.0,Male,25166.38,Fashion,13.38,6.0,6.0,No,1
120852,41.0,Male,38899.05,Grocery,30.86,4.0,5.0,No,1
112688,39.0,Female,10000.0,Fashion,12.3,10.0,2.0,No,0
104129,44.0,Female,16584.04,Electronics,25.76,8.0,0.0,Yes,1
136975,48.0,Female,59191.38,Fashion,26.76,2.0,3.0,Yes,0
105489,59.0,Male,27980.05,Beauty,10.95,4.0,2.0,No,1
148012,,Female,23667.21,Sports,14.56,8.0,3.0,No,0
127218,36.0,Female,,Home,73.44,7.0,3.0,No,1
130371,45.0,Male,51892.69,Sports,21.26,7.0,4.0,No,1
123450,20.0,Female,22807.74,Electronics,10.97,5.0,3.0,Yes,1
134931,61.0,Other,43782.23,Electronics,23.52,4.0,3.0,Yes,1
120846,38.0,Female,35343.27,Grocery,14.86,17.0,2.0,Yes,1
131340,33.0,Male,43501.95,Beauty,17.08,10.0,8.0,Yes,0
139630,51.0,Female,,Electronics,18.45,8.0,3.0,No,0
149595,33.0,Male,18186.59,Electronics,41.55,2.0,3.0,Yes,1
133024,25.0,Male,73896.1,Beauty,19.08,3.0,1.0,No,0
138852,,,73443.87,Home,16.13,3.0,3.0,Yes,1
128109,24.0,Female,14167.17,Grocery,9.84,15.0,2.0,No,0
113688,34.0,Male,42040.66,Electronics,8.13,10.0,3.0,Yes,1
106677,56.0,Male,34776.86,Fashion,10.12,19.0,2.0,Yes,1
146367,40.0,Male,74648.55,Home,28.39,6.0,3.0,No,1
143039,23.0,Other,19820.63,Grocery,12.2,9.0,5.0,No,1
136214,23.0,Female,66326.15,Beauty,19.56,7.0,2.0,No,0
104244,19.0,Male,40358.33,Fashion,4.8,6.0,0.0,Yes,1
121364,57.0,Female,59875.73,Beauty,8.68,6.0,0.0,No,0
145789,49.0,Other,105621.59,Sports,3.7,5.0,3.0,Yes,0
103716,31.0,Male,39158.07,Beauty,3.23,3.0,2.0,No,0
121505,65.0,Male,59586.59,Home,19.39,4.0,1.0,Yes,0
142752,48.0,Female,38377.21,Beauty,11.81,9.0,4.0,Yes,1
147072,55.0,Male,67750.88,Grocery,25.45,8.0,4.0,Yes,1
106362,62.0,Female,55516.1,Grocery,11.86,20.0,5.0,Yes,1
125289,41.0,,31188.17,Electronics,19.73,5.0,2.0,No,0
113863,37.0,Female,48222.2,Home,5.39,2.0,3.0,Yes,0
134645,62.0,Female,13426.97,Fashion,19.61,,4.0,No,1
134668,58.0,Female,51272.35,Grocery,21.09,10.0,2.0,Yes,1
111394,23.0,Male,77316.31,Fashion,4.09,8.0,4.0,No,0
148285,51.0,Female,25361.41,Fashion,22.93,7.0,1.0,Yes,0
123424,20.0,Male,30571.63,Grocery,13.98,11.0,2.0,Yes,1
148120,62.0,Female,37814.67,Electronics,11.17,12.0,2.0,No,1
139727,46.0,Female,30741.03,Sports,22.38,16.0,3.0,No,1
145468,36.0,Male,61008.81,Fashion,25.53,17.0,5.0,No,1
110010,20.0,Male,45382.17,Sports,25.16,14.0,1.0,No,1
125956,41.0,Female,18701.33,Fashion,36.38,8.0,1.0,No,0
124421,52.0,Female,42143.99,Electronics,21.34,12.0,3.0,Yes,1
115604,56.0,Male,43273.99,Grocery,11.54,5.0,5.0,No,0
108239,43.0,Female,87114.46,Beauty,20.18,14.0,2.0,No,0
106926,18.0,Male,66290.54,Electronics,8.41,3.0,1.0,Yes,0
137926,54.0,Male,60586.66,Home,5.39,3.0,2.0,Yes,0
125759,52.0,Male,20310.93,Grocery,49.71,6.0,1.0,Yes,1
102361,49.0,Female,,Beauty,8.07,4.0,2.0,No,0
137350,64.0,Female,51384.85,,14.68,14.0,,No,1
145310,57.0,Female,30359.19,Home,25.4,12.0,3.0,No,1
116034,54.0,Male,53052.52,Electronics,14.58,10.0,3.0,No,1
142074,47.0,Male,73203.43,Home,10.33,,2.0,Yes,1
